id,title,neighborhood,type,price_per_night,price_total_xaf,rating,reviews,occupancy_rate,monthly_revenue,superhost,source,scraped_at
DLA-0252,Appartement entier - Deido,Deido,Appartement entier,20500.0,,4.96,24,0.77,473550,False,simulated,2026-06-08T22:46:06.059937
DLA-0253,Appartement entier - Bonapriso,Bonapriso,Appartement entier,45500.0,,4.75,99,0.83,1132950,False,simulated,2026-06-08T22:46:06.059947
DLA-0254,Studio - Akwa,Akwa,Studio,21000.0,,3.91,184,0.8,504000,False,simulated,2026-06-08T22:46:06.059957
DLA-0255,Appartement entier - Bonapriso,Bonapriso,Appartement entier,47000.0,,3.85,172,0.76,1071600,True,simulated,2026-06-08T22:46:06.059967
DLA-0256,Villa - Makepe,Makepe,Villa,19500.0,,3.83,179,0.83,485550,True,simulated,2026-06-08T22:46:06.059978
DLA-0257,Chambre privee - Bonanjo,Bonanjo,Chambre privee,50500.0,,4.78,136,0.73,1105950,True,simulated,2026-06-08T22:46:06.059988
DLA-0258,Appartement entier - Bonapriso,Bonapriso,Appartement entier,48000.0,,4.68,81,0.81,1166400,False,simulated,2026-06-08T22:46:06.059997
DLA-0259,Chambre privee - New Bell,New Bell,Chambre privee,16500.0,,4.78,96,0.8,396000,True,simulated,2026-06-08T22:46:06.060006
DLA-0260,Appartement entier - Bali,Bali,Appartement entier,25000.0,,4.91,8,0.65,487500,False,simulated,2026-06-08T22:46:06.060016
DLA-0261,Appartement entier - Logbessou,Logbessou,Appartement entier,19000.0,,4.57,153,0.63,359100,True,simulated,2026-06-08T22:46:06.060026
DLA-0262,Chambre privee - Logbessou,Logbessou,Chambre privee,26000.0,,4.81,177,0.69,538200,False,simulated,2026-06-08T22:46:06.060036
DLA-0263,Appartement entier - Bonanjo,Bonanjo,Appartement entier,54000.0,,4.35,75,0.57,923400,False,simulated,2026-06-08T22:46:06.060047
DLA-0264,Appartement entier - Makepe,Makepe,Appartement entier,18000.0,,4.74,162,0.7,378000,True,simulated,2026-06-08T22:46:06.060060
DLA-0265,Chambre privee - New Bell,New Bell,Chambre privee,15500.0,,4.68,181,0.81,376650,True,simulated,2026-06-08T22:46:06.060070
DLA-0266,Chambre privee - Bonanjo,Bonanjo,Chambre privee,53000.0,,4.12,159,0.55,874500,False,simulated,2026-06-08T22:46:06.060080
DLA-0267,Chambre privee - Makepe,Makepe,Chambre privee,26000.0,,4.09,64,0.57,444600,False,simulated,2026-06-08T22:46:06.060091
DLA-0268,Chambre privee - Logbessou,Logbessou,Chambre privee,22000.0,,4.32,64,0.51,336600,True,simulated,2026-06-08T22:46:06.060101
DLA-0269,Appartement entier - Logbessou,Logbessou,Appartement entier,18000.0,,4.02,155,0.73,394200,True,simulated,2026-06-08T22:46:06.060110
DLA-0270,Chambre privee - Bali,Bali,Chambre privee,27000.0,,3.89,71,0.56,453600,True,simulated,2026-06-08T22:46:06.060120
DLA-0271,Villa - Logbessou,Logbessou,Villa,19500.0,,4.75,28,0.48,280800,False,simulated,2026-06-08T22:46:06.060129
DLA-0272,Chambre privee - Logbessou,Logbessou,Chambre privee,34000.0,,4.94,167,0.67,683400,True,simulated,2026-06-08T22:46:06.060138
DLA-0273,Chambre privee - Makepe,Makepe,Chambre privee,26000.0,,4.07,196,0.68,530400,False,simulated,2026-06-08T22:46:06.060147
DLA-0274,Appartement entier - Bali,Bali,Appartement entier,30000.0,,4.35,134,0.74,666000,False,simulated,2026-06-08T22:46:06.060158
DLA-0275,Chambre privee - Akwa,Akwa,Chambre privee,23000.0,,4.05,182,0.48,331200,True,simulated,2026-06-08T22:46:06.060167
DLA-0276,Chambre privee - New Bell,New Bell,Chambre privee,11500.0,,4.84,193,0.54,186300,True,simulated,2026-06-08T22:46:06.060179
